names,edges,distance,weighting
"('Victors', 'Holden Gallery')","(6, 28)",0.6715811904281971,1.0
"('Victors', 'Castlefield Gallery')","(6, 29)",0.690385003023584,1.0
"('Victors', 'Gallery Oldham')","(6, 30)",1.0,1.0
"('Victors', 'Factory International')","(6, 31)",0.7079505859993664,0.85
"('Victors', 'Pottery Corner')","(6, 32)",0.5605724652287846,0.85
"('Victors', 'Seven Limes Pottery')","(6, 33)",0.6356437354220059,1.0
"('Victors', 'Clay Studio')","(6, 34)",0.6535836668874363,1.0
"('Victors', 'Boom Battle Bar')","(6, 35)",0.7317937051861664,1.0
"('Victors', 'Virtual Hideout')","(6, 36)",0.7256889452011404,1.0
"('Victors', 'DNA VR')","(6, 37)",0.7192386327641317,1.0
"('Victors', 'Sken Studios')","(6, 38)",0.5353471362340542,1.0
"('Victors', 'Cork and Canvas')","(6, 39)",0.7341837763123794,1.0
"('Victors', 'Ma Lumiere')","(6, 40)",0.7632389783165836,1.0
"('Victors', 'Northern Flower')","(6, 41)",0.7275894836870447,1.0
"('Victors', 'Junkyard Golf Club')","(6, 44)",0.6901546347222622,1.0
"('Victors', 'Goodtime Games')","(6, 62)",0.501914936504737,1.0
"('The Pen And Pencil', 'Manchester Art Gallery')","(7, 21)",0.022259337115212947,1.0
"('The Pen And Pencil', 'HOME')","(7, 22)",0.04382756932646068,0.85
"('The Pen And Pencil', 'Rogue Artists’ Studios')","(7, 23)",0.1560745241454776,1.0
"('The Pen And Pencil', 'Salford Museum and Art Gallery')","(7, 24)",0.15454833414922106,1.0
"('The Pen And Pencil', 'The Lowry')","(7, 25)",0.13850894116969506,1.0
"('The Pen And Pencil', 'The Whitworth')","(7, 26)",0.06801624096524318,1.0
"('The Pen And Pencil', 'Islington Mill')","(7, 27)",0.07590635528551272,1.0
"('The Pen And Pencil', 'Holden Gallery')","(7, 28)",0.05062343421545196,1.0
"('The Pen And Pencil', 'Castlefield Gallery')","(7, 29)",0.051688887609064996,1.0
"('The Pen And Pencil', 'Gallery Oldham')","(7, 30)",0.37164166210729405,1.0
"('The Pen And Pencil', 'Factory International')","(7, 31)",0.0635528551271345,0.85
"('The Pen And Pencil', 'Pottery Corner')","(7, 32)",0.20594926138163389,0.85
"('The Pen And Pencil', 'Seven Limes Pottery')","(7, 33)",0.0970714429694474,1.0
"('The Pen And Pencil', 'Clay Studio')","(7, 34)",0.07668384830247357,1.0
